STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CURRENCY,Currency,COUNTERPART_AREA,Counterpart area,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,JPY,Yen,JPN,Japan,2026-05,,145,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,JPY,Yen,JPN,Japan,2026-05,,150,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,KRW,Won,KOR,Korea,2026-05,,155,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,KRW,Won,KOR,Korea,2026-05,,160,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,LVA,Latvia,2026-05,,142,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,LVA,Latvia,2026-05,,147,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,LTU,Lithuania,2026-05,,142,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,LTU,Lithuania,2026-05,,147,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,LUX,Luxembourg,2026-05,,92,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,LUX,Luxembourg,2026-05,,95,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,MXN,Mexican peso,MEX,Mexico,2026-05,,142,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,MXN,Mexican peso,MEX,Mexico,2026-05,,147,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,NLD,Netherlands,2026-05,,103,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,NLD,Netherlands,2026-05,,107,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,NZD,New Zealand dollar,NZL,New Zealand,2026-05,,102,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,NZD,New Zealand dollar,NZL,New Zealand,2026-05,,105,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,NOK,Norwegian krone,NOR,Norway,2026-05,,87,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,NOK,Norwegian krone,NOR,Norway,2026-05,,90,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,PLN,Zloty,POL,Poland,2026-05,,162,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,PLN,Zloty,POL,Poland,2026-05,,167,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,PRT,Portugal,2026-05,,138,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,PRT,Portugal,2026-05,,142,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,SVK,Slovak Republic,2026-05,,158,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,SVK,Slovak Republic,2026-05,,143,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,SVN,Slovenia,2026-05,,152,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,SVN,Slovenia,2026-05,,134,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,ESP,Spain,2026-05,,150,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,ESP,Spain,2026-05,,136,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,SEK,Swedish krona,SWE,Sweden,2026-05,,102,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,SEK,Swedish krona,SWE,Sweden,2026-05,,106,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,CHF,Swiss franc,CHE,Switzerland,2026-05,,67,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,CHF,Swiss franc,CHE,Switzerland,2026-05,,69,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,TRY,Turkish lira,TUR,Türkiye,2026-05,,199,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,TRY,Turkish lira,TUR,Türkiye,2026-05,,205,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,GBP,Pound sterling,GBR,United Kingdom,2026-05,,97,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,GBP,Pound sterling,GBR,United Kingdom,2026-05,,100,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,USD,US dollar,USA,United States,2026-05,,89,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,USD,US dollar,USA,United States,2026-05,,92,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,AUD,Australian dollar,AUS,Australia,2026-05,,100,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,AUT,Austria,2026-05,,106,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,BEL,Belgium,2026-05,,106,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,CAD,Canadian dollar,CAN,Canada,2026-05,,114,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,CLP,Chilean peso,CHL,Chile,2026-05,,176,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,COP,Colombian peso,COL,Colombia,2026-05,,235,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,CRC,Costa Rican colon,CRI,Costa Rica,2026-05,,152,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,CZK,Czech koruna,CZE,Czechia,2026-05,,137,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,DKK,Danish krone,DNK,Denmark,2026-05,,100,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,EST,Estonia,2026-05,,117,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,FIN,Finland,2026-05,,115,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,FRA,France,2026-05,,110,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,DEU,Germany,2026-05,,111,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,GRC,Greece,2026-05,,136,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,HUF,Forint,HUN,Hungary,2026-05,,166,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,ISK,Iceland krona,ISL,Iceland,2026-05,,79,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,IRL,Ireland,2026-05,,88,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,ILS,New Israeli sheqel,ISR,Israel,2026-05,,83,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,ITA,Italy,2026-05,,129,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,JPY,Yen,JPN,Japan,2026-05,,165,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,KRW,Won,KOR,Korea,2026-05,,177,,,
